
> @ansvar/georgian-law-mcp@1.0.0 ingest
> node --import tsx scripts/ingest.ts --mode full-main-normative --resume --skip-english --quiet

Georgian Law MCP -- Real Matsne ingestion
=========================================
Mode: full-main-normative
Resume mode: enabled (existing seed files are reused)
English titles: skipped (--skip-english)

Search-discovered 51350 document IDs; ingesting 51350 documents.

[04275/51350] processed, ingested=3475, skipped=14, already_present=786
[04300/51350] processed, ingested=3500, skipped=14, already_present=786
[04325/51350] processed, ingested=3525, skipped=14, already_present=786
[04350/51350] processed, ingested=3550, skipped=14, already_present=786
[04375/51350] processed, ingested=3575, skipped=14, already_present=786
[04400/51350] processed, ingested=3600, skipped=14, already_present=786
[04425/51350] processed, ingested=3624, skipped=15, already_present=786
[04450/51350] processed, ingested=3649, skipped=15, already_present=786
[04475/51350] processed, ingested=3674, skipped=15, already_present=786
[04500/51350] processed, ingested=3699, skipped=15, already_present=786
[04525/51350] processed, ingested=3724, skipped=15, already_present=786
[04550/51350] processed, ingested=3748, skipped=16, already_present=786
[04575/51350] processed, ingested=3773, skipped=16, already_present=786
[04600/51350] processed, ingested=3798, skipped=16, already_present=786
[04625/51350] processed, ingested=3823, skipped=16, already_present=786
[04650/51350] processed, ingested=3848, skipped=16, already_present=786
[04675/51350] processed, ingested=3873, skipped=16, already_present=786
[04700/51350] processed, ingested=3898, skipped=16, already_present=786
[04725/51350] processed, ingested=3923, skipped=16, already_present=786
[04750/51350] processed, ingested=3948, skipped=16, already_present=786
[04775/51350] processed, ingested=3973, skipped=16, already_present=786
[04800/51350] processed, ingested=3998, skipped=16, already_present=786
[04825/51350] processed, ingested=4023, skipped=16, already_present=786
[04850/51350] processed, ingested=4048, skipped=16, already_present=786
[04875/51350] processed, ingested=4073, skipped=16, already_present=786
[04900/51350] processed, ingested=4098, skipped=16, already_present=786
[04925/51350] processed, ingested=4123, skipped=16, already_present=786
[04950/51350] processed, ingested=4148, skipped=16, already_present=786
[04975/51350] processed, ingested=4173, skipped=16, already_present=786
[05000/51350] processed, ingested=4198, skipped=16, already_present=786
[05025/51350] processed, ingested=4222, skipped=17, already_present=786
[05050/51350] processed, ingested=4247, skipped=17, already_present=786
[05075/51350] processed, ingested=4272, skipped=17, already_present=786
[05100/51350] processed, ingested=4297, skipped=17, already_present=786
[05125/51350] processed, ingested=4322, skipped=17, already_present=786
